ICAO,IATA,Name,City,Country,Altitude,Latitude,Longitude
KCIC,CIC,CHICO MUNI,CHICO,USA,73,39.795,-121.858
KCLE,CLE,CLEVELAND HOPKINS INTERNATIONAL,CLEVELAND,USA,242,41.412,-81.85
KCLL,CLL,EASTERWOOD FLD,COLLEGE STATION,USA,98,30.588,-96.364
KCLT,CLT,CHARLOTTE DOUGLAS INTERNATIONAL,CHARLOTTE,USA,229,35.214,-80.943
KCMH,CMH,PORT COLUMBUS INTERNATIONAL,COLUMBUS,USA,249,39.998,-82.892
KCNM,CNM,CAVERN CITY AIR TERMINAL,CARLSBAD,USA,1005,32.337,-104.263
KCNW,CNW,TSTC WACO,WACO,USA,144,31.638,-97.074
KCOF,COF,PATRICK AFB,COCO BEACH,USA,3,28.235,-80.61
KCOS,COS,CITY OF COLORADO SPRINGS MUNI,COLORADO SPRINGS,USA,1885,38.806,-104.7
KCOT,COT,COTULLA LA SALLE CO,COTULLA,USA,146,28.458,-99.22
KCOU,COU,COLUMBIA RGNL,COLUMBIA,USA,271,38.818,-92.219
KCPR,CPR,NATRONA CO INTERNATIONAL,CASPER,USA,1631,42.908,-106.464
KCRP,CRP,CORPUS CHRISTI INTERNATIONAL,CORPUS CHRISTI,USA,14,27.77,-97.501
KCTB,CTB,CUT BANK MUNI,CUTBANK,USA,1175,48.608,-112.376
KCVG,CVG,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL,CINCINNATI,USA,274,39.046,-84.662
KCVS,CVS,CANNON AFB,CLOVIS,USA,1310,34.383,-103.322
KCXL,CXL,CALEXICO INTERNATIONAL,CALEXICO,USA,2,32.669,-115.513
KCXO,CXO,MONTGOMERY CO,CONROE,USA,75,30.352,-95.414
KCYS,CYS,CHEYENNE,CHEYENNE,USA,1877,41.156,-104.812
KDAL,DAL,DALLAS LOVE FLD,DALLAS,USA,149,32.847,-96.852
KDAY,DAY,JAMES M COX DAYTON INTERNATIONAL,DAYTON,USA,308,39.902,-84.219
KDCA,DCA,RONALD REAGAN WASHINGTON NATIONAL,WASHINGTON,USA,5,38.852,-77.037
KDEN,DEN,DENVER INTERNATIONAL,DENVER,USA,1656,39.858,-104.667
KDET,DET,DETROIT CITY,DETROIT,USA,191,42.409,-83.01
KDFW,DFW,DALLAS FORT WORTH INTERNATIONAL,DALLAS-FORT WORTH,USA,184,32.896,-97.037
KDHN,DHN,DOTHAN RGNL,DOTHAN,USA,123,31.321,-85.449
KDHT,DHT,DALHART MUNI,DALHART,USA,1217,36.023,-102.547
KDLF,DLF,LAUGHLIN AFB,DEL RIO,USA,330,29.359,-100.778
KDLH,DLH,DULUTH INTERNATIONAL,DULUTH,USA,436,46.842,-92.194
KDMA,DMA,DAVIS MONTHAN AFB,TUCSON,USA,825,32.166,-110.883
KDOV,DOV,DOVER AFB,DOVER,USA,10,39.13,-75.466
KDPA,DPA,DU PAGE,WEST CHICAGO,USA,232,41.908,-88.249
KDRI,DRI,BEAUREGARD PARISH,DERIDDER,USA,63,30.832,-93.34
KDRO,DRO,DURANGO LA PLATA CO,DURANGO,USA,2038,37.151,-107.754
KDRT,DRT,DEL RIO INTERNATIONAL,DEL RIO,USA,305,29.373,-100.926
KDSM,DSM,DES MOINES INTERNATIONAL,DES MOINES,USA,292,41.534,-93.663
KDTW,DTW,DETROIT METRO WAYNE CO,DETROIT,USA,197,42.212,-83.353
KDUG,DUG,BISBEE DOUGLAS INTERNATIONAL,DOUGLAS,USA,1267,31.469,-109.604
KDYS,DYS,DYESS AFB,ABILENE,USA,546,32.421,-99.854
KECG,ECG,ELIZABETH CITY CGAS RGNL,ELIZABETH CITY,USA,4,36.261,-76.174
KEDW,EDW,EDWARDS AFB,EDWARDS AFB,USA,702,34.905,-117.884
KEFD,EFD,ELLINGTON FLD,HOUSTON,USA,10,29.607,-95.159
KEGP,EGP,EAGLE PASS MUNI,EAGLE PASS,USA,246,28.7,-100.479
KEKN,EKN,ELKINS RANDOLPH CO JENNINGS RANDOLPH,ELKINS,USA,606,38.889,-79.857
KELD,ELD,SOUTH ARKANSAS RGNL AT GOODWIN FLD,EL DORADO,USA,85,33.221,-92.813
KELP,ELP,EL PASO INTERNATIONAL,EL PASO,USA,1207,31.807,-106.378
KEND,END,VANCE AFB,ENID,USA,399,36.34,-97.916
KENV,ENV,WENDOVER,WENDOVER,USA,1291,40.719,-114.031
KESF,ESF,ESLER RGNL,ALEXANDRIA,USA,35,31.395,-92.296
KEWN,EWN,CRAVEN CO RGNL,NEW BERN,USA,6,35.073,-77.043
KEWR,EWR,NEWARK LIBERTY INTERNATIONAL,NEWARK,USA,6,40.692,-74.169
KEYW,EYW,KEY WEST INTERNATIONAL,KEY WEST,USA,1,24.556,-81.759
KFAF,FAF,FELKER AAF,FORT EUSTIS,USA,4,37.133,-76.609
KFAT,FAT,FRESNO YOSEMITE INTERNATIONAL,FRESNO,USA,103,36.776,-119.718
KFCS,FCS,BUTTS AAF,FORT CARSON,USA,1780,38.678,-104.756
KFFO,FFO,WRIGHT PATTERSON AFB,DAYTON,USA,251,39.826,-84.048
KFHU,FHU,SIERRA VISTA MUNI LIBBY AAF,FORT HUACHUCA,USA,1439,31.588,-110.344
KFLL,FLL,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL,FORT LAUDERDALE,USA,3,26.072,-80.153
KFLO,FLO,FLORENCE RGNL,FLORENCE,USA,45,34.185,-79.724
KFLV,FLV,SHERMAN AAF,FORT LEAVENWORTH,USA,236,39.368,-94.914
KFME,N/A,TIPTON,FORT MEADE,USA,46,39.085,-76.759
KFMH,FMH,OTIS ANGB,FALMOUTH,USA,40,41.658,-70.521
KFMN,FMN,FOUR CORNERS RGNL,FARMINGTON,USA,1679,36.741,-108.23
KFMY,FMY,PAGE FLD,FORT MYERS,USA,6,26.586,-81.863
KFOD,FOD,FORT DODGE RGNL,FORT DODGE,USA,353,42.551,-94.193
KFOE,FOE,FORBES FLD,TOPEKA,USA,329,38.951,-95.664
KFOK,FOK,THE FRANCIS S GABRESKI,WEST HAMPTON BEACH,USA,21,40.844,-72.632
KFRI,FRI,MARSHALL AAF,FORT RILEY,USA,325,39.055,-96.764
KFSI,FSI,HENRY POST AAF,FORT SILL,USA,363,34.65,-98.402
KFSM,FSM,FORT SMITH RGNL,FORT SMITH,USA,143,35.336,-94.367
KFTK,FTK,GODMAN AAF,FORT KNOX,USA,231,37.907,-85.972
KFTW,FTW,FORT WORTH MEACHAM INTERNATIONAL,FORT WORTH,USA,217,32.82,-97.362
KFXE,FXE,FORT LAUDERDALE EXECUTIVE,FORT LAUDERDALE,USA,5,26.197,-80.171
KFYV,FYV,DRAKE FLD,FAYETTEVILLE,USA,382,36.005,-94.17
KGAG,GAG,GAGE,GAGE,USA,678,36.295,-99.776
KGCK,GCK,GARDEN CITY RGNL,GARDEN CITY,USA,881,37.927,-100.724
KGEG,GEG,SPOKANE INTERNATIONAL,SPOKANE,USA,723,47.62,-117.534
KGFK,GFK,GRAND FORKS INTERNATIONAL,GRAND FORKS,USA,258,47.949,-97.176
KGGG,GGG,EAST TEXAS RGNL,LONGVIEW,USA,112,32.385,-94.711
KGLS,GLS,SCHOLES INTERNATIONAL AT GALVESTON,GALVESTON,USA,2,29.265,-94.86
KGNT,GNT,GRANTS MILAN MUNI,GRANTS,USA,1988,35.165,-107.901
KGNV,GNV,GAINESVILLE RGNL,GAINESVILLE,USA,47,29.69,-82.272
KGRB,GRB,AUSTIN STRAUBEL INTERNATIONAL,GREEN BAY,USA,212,44.485,-88.129
KGRF,GRF,GRAY AAF,FORT LEWIS,USA,93,47.079,-122.581
KGRK,GRK,ROBERT GRAY AAF,KILLEEN,USA,311,31.067,-97.829
KGRR,GRR,GERALD R FORD INTERNATIONAL,GRAND RAPIDS,USA,242,42.881,-85.523
KGSB,GSB,SEYMOUR JOHNSON AFB,GOLDSBORO,USA,34,35.339,-77.961
KGTB,GTB,WHEELER SACK AAF,FORT DRUM,USA,211,44.056,-75.719
KGTF,GTF,GREAT FALLS INTERNATIONAL,GREAT FALLS,USA,1121,47.482,-111.371
KGUS,GUS,GRISSOM ARB,PERU,USA,248,40.648,-86.152
KGVT,GVT,MAJORS,GREENVILE,USA,164,33.068,-96.065
KGVW,GVW,RICHARDS GEBAUR MEMORIAL,GRANDVIEW,USA,333,38.843,-94.561
KGWO,GWO,GREENWOOD LEFLORE,GREENWOOD,USA,50,33.494,-90.084
KHBR,HBR,HOBART MUNI,HOBART,USA,477,34.991,-99.051
KHFD,HFD,HARTFORD BRAINARD,HARTFORD,USA,6,41.736,-72.65
KHHR,HHR,JACK NORTHROP FLD HAWTHORNE MUNI,HAWTHORNE,USA,21,33.923,-118.335
KHIB,HIB,CHISHOLM HIBBING,HIBBING,USA,413,47.386,-92.839
KHIF,HIF,HILL AFB,OGDEN,USA,1460,41.124,-111.973
KHKY,HKY,HICKORY RGNL,HICKORY,USA,363,35.741,-81.389
KHLN,HLN,HELENA RGNL,HELENA,USA,1182,46.607,-111.983
KHLR,HLR,HOOD AAF,FORT HOOD,USA,282,31.139,-97.714
KHMN,HMN,HOLLOMAN AFB,ALAMOGORDO,USA,1248,32.852,-106.106
KHOB,HOB,LEA CO RGNL,HOBBS,USA,1116,32.688,-103.217
KHON,HON,HURON RGNL,HURON,USA,393,44.385,-98.228
KHOP,HOP,CAMPBELL AAF,HOPKINSVILLE,USA,175,36.668,-87.496
KHOU,HOU,WILLIAM P HOBBY,HOUSTON,USA,15,29.645,-95.279
KHPN,HPN,WESTCHESTER CO,WHITE PLAINS,USA,134,41.067,-73.707
KHRL,HRL,VALLEY INTERNATIONAL,HARLINGEN,USA,11,26.228,-97.654
KHRO,HRO,BOONE CO,HARRISON,USA,417,36.261,-93.155
KHRT,HRT,HURLBURT FLD,MARY ESTHER,USA,12,30.428,-86.689
KHST,HST,HOMESTEAD ARB,HOMESTEAD,USA,3,25.488,-80.384
KHTL,HTL,ROSCOMMON CO,HOUGHTON LAKE,USA,351,44.36,-84.671
KHUA,HUA,REDSTONE AAF,REDSTONE,USA,209,34.679,-86.685
KHUF,HUF,TERRE HAUTE INTERNATIONAL HULMAN FLD,TERRE HAUTE,USA,180,39.451,-87.307
KHUL,HUL,HOULTON INTERNATIONAL,HOULTON,USA,150,46.123,-67.792
KHVR,HVR,HAVRE CITY CO,HAVRE,USA,790,48.543,-109.762
KHWO,HWO,NORTH PERRY,HOLLYWOOD,USA,3,26.001,-80.24
KIAB,IAB,MC CONNELL AFB,WICHITA,USA,418,37.623,-97.267
KIAD,IAD,WASHINGTON DULLES INTERNATIONAL,WASHINGTON,USA,96,38.944,-77.456
KIAG,IAG,NIAGARA FALLS INTERNATIONAL,NIAGARA FALLS,USA,180,43.107,-78.946
KIAH,IAH,GEORGE BUSH INTCNTL HOUSTON,HOUSTON,USA,30,29.98,-95.34
KICT,ICT,WICHITA MID CONTINENT,WICHITA,USA,407,37.65,-97.433
KIKK,IKK,GREATER KANKAKEE,KANKAKEE,USA,193,41.071,-87.846
KIKR,ABQ,ALBUQUERQUE INTERNATIONAL SUNPORT,KIRTLAND A.F.B.,USA,1633,35.04,-106.609
KILG,ILG,NEW CASTLE CO,WILMINGTON,USA,25,39.679,-75.606
KILM,ILM,WILMINGTON INTERNATIONAL,WILMINGTON,USA,10,34.271,-77.903
KIND,IND,INDIANAPOLIS INTERNATIONAL,INDIANAPOLIS,USA,243,39.717,-86.294
KINK,INK,WINKLER CO,WINK,USA,860,31.779,-103.201
KINL,INL,FALLS INTERNATIONAL,INTERNATIONAL FALLS,USA,362,48.566,-93.403
KINS,INS,INDIAN SPRINGS AF AUX,INDIAN SPRINGS,USA,955,36.587,-115.673
KINT,INT,SMITH REYNOLDS,WINSTON-SALEM,USA,296,36.134,-80.222
KIPL,IPL,IMPERIAL CO,IMPERIAL,USA,-17,32.834,-115.579
KIPT,IPT,WILLIAMSPORT RGNL,WILLIAMSPORT,USA,162,41.242,-76.921
KISN,ISN,SLOULIN FLD INTERNATIONAL,WILLISTON,USA,605,48.178,-103.642
KISP,ISP,LONG ISLAND MAC ARTHUR,ISLIP,USA,31,40.795,-73.1
KJAN,JAN,JACKSON INTERNATIONAL,JACKSON,USA,106,32.311,-90.076
KJAX,JAX,JACKSONVILLE INTERNATIONAL,JACKSONVILLE,USA,10,30.494,-81.688
KJBR,JBR,JONESBORO MUNI,JONESBORO,USA,80,35.832,-90.646
KJFK,JFK,JOHN F KENNEDY INTERNATIONAL,NEW YORK,USA,4,40.64,-73.779
KLAN,LAN,CAPITAL CITY,LANSING,USA,263,42.779,-84.587
KLAS,LAS,MC CARRAN INTERNATIONAL,LAS VEGAS,USA,665,36.08,-115.152
KLAX,LAX,LOS ANGELES INTERNATIONAL,LOS ANGELES,USA,39,33.942,-118.408
KLBB,LBB,LUBBOCK INTERNATIONAL,LUBBOCK,USA,1001,33.664,-101.823
KLCH,LCH,LAKE CHARLES RGNL,LAKE CHARLES,USA,5,30.126,-93.223
KLCK,LCK,RICKENBACKER INTERNATIONAL,COLUMBUS,USA,227,39.814,-82.928
KLFI,LFI,LANGLEY AFB,HAMPTON,USA,4,37.083,-76.36
KLFK,LFK,ANGELINA CO,LUFKIN,USA,91,31.234,-94.75
KLFT,LFT,LAFAYETTE RGNL,LAFAYETTE,USA,13,30.205,-91.987
KLGA,LGA,LA GUARDIA,NEW YORK,USA,7,40.777,-73.872
KLGB,LGB,LONG BEACH,LONG BEACH,USA,19,33.818,-118.151
KLHW,LHW,WRIGHT AAF,WRIGHT,USA,15,31.889,-81.562
KLIT,LIT,ADAMS FLD,LITTLE ROCK,USA,80,34.729,-92.224
KLNA,LNA,PALM BEACH CO PARK,WEST PALM BEACH,USA,5,26.593,-80.085
KLNK,LNK,LINCOLN MUNI,LINCOLN,USA,372,40.851,-96.759
KLOU,LOU,BOWMAN FLD,LOUISVILLE,USA,167,38.228,-85.664
KLRD,LRD,LAREDO INTERNATIONAL,LAREDO,USA,155,27.544,-99.461
KLRF,LRF,LITTLE ROCK AFB,JACKSONVILLE,USA,95,34.918,-92.146
KLSF,LSF,LAWSON AAF,FORT BENNING,USA,71,32.337,-84.991
KLSV,LSV,NELLIS AFB,LAS VEGAS,USA,570,36.236,-115.034
KLTS,LTS,ALTUS AFB,ALTUS,USA,422,34.667,-99.267
KLUF,LUF,LUKE AFB,PHOENIX,USA,331,33.535,-112.383
KLUK,LUK,CINCINNATI MUNI LUNKEN FLD,CINCINNATI,USA,148,39.103,-84.419
KMAF,MAF,MIDLAND INTERNATIONAL,MIDLAND,USA,876,31.942,-102.202
KMCC,MCC,MC CLELLAN AFLD,SACRAMENTO,USA,23,38.667,-121.401
KMCF,MCF,MACDILL AFB,TAMPA,USA,5,27.849,-82.521
KMCI,MCI,KANSAS CITY INTERNATIONAL,KANSAS CITY,USA,313,39.297,-94.714
KMCN,MCN,MIDDLE GEORGIA RGNL,MACON,USA,108,32.693,-83.649
KMCO,MCO,ORLANDO INTERNATIONAL,ORLANDO,USA,30,28.429,-81.316
KMDT,MDT,HARRISBURG INTERNATIONAL,HARRISBURG,USA,95,40.193,-76.763
KMDW,MDW,CHICAGO MIDWAY INTERNATIONAL,CHICAGO,USA,189,41.786,-87.752
KMEM,MEM,MEMPHIS INTERNATIONAL,MEMPHIS,USA,104,35.042,-89.977
KMER,MER,CASTLE,MERCED,USA,58,37.38,-120.568
KMFE,MFE,MC ALLEN MILLER INTERNATIONAL,MCALLEN,USA,33,26.176,-98.239
KMGE,MGE,DOBBINS ARB,MARIETTA,USA,326,33.915,-84.516
KMHR,MHR,SACRAMENTO MATHER,SACRAMENTO,USA,30,38.554,-121.297
KMIA,MIA,MIAMI INTERNATIONAL,MIAMI,USA,3,25.793,-80.291
KMIB,MIB,MINOT AFB,MINOT,USA,509,48.416,-101.357
KMIV,MIV,MILLVILLE MUNI,MILLVILLE,USA,26,39.368,-75.072
KMKE,MKE,GENERAL MITCHELL INTERNATIONAL,MILWAUKEE,USA,221,42.947,-87.896
KMKL,MKL,MC KELLAR SIPES RGNL,JACKSON,USA,133,35.6,-88.916
KMKO,MKO,DAVIS FLD,MUSKOGEE,USA,186,35.657,-95.361
KMLB,MLB,MELBOURNE INTERNATIONAL,MELBOURNE,USA,11,28.103,-80.645
KMLC,MLC,MC ALESTER RGNL,MCALESTER,USA,235,34.882,-95.783
KMLT,MLT,MILLINOCKET MUNI,MILLINOCKET,USA,125,45.648,-68.686
KMLU,MLU,MONROE RGNL,MONROE,USA,25,32.511,-92.037
KMMV,MMV,MC MINNVILLE MUNI,MACKMINNVILLE,USA,50,45.194,-123.136
KMNM,MNM,MENOMINEE MARINETTE TWIN CO,MACON,USA,191,45.126,-87.638
